materia;assunto;tipo;banca;enunciado;alternativa_a;alternativa_b;alternativa_c;alternativa_d;alternativa_e;resposta
PORTUGUÊS;Interpretação de Texto;Múltipla Escolha;ENEM;Leia o trecho a seguir: "A máquina de fazer sapatos era tão eficiente que em pouco tempo os artesãos da cidade se viram sem trabalho. O progresso tecnológico, apesar de trazer mais sapatos para todos, gerou uma crise social imediata." Qual é o principal dilema apresentado no texto?;O aumento da qualidade dos produtos industrializados.;O conflito entre a eficiência da máquina e o desemprego gerado.;A falta de capacidade dos artesãos de se modernizarem.;O custo elevado dos sapatos produzidos pela máquina.;A expansão do mercado consumidor de calçados.;B
PORTUGUÊS;Concordância Verbal;Múltipla Escolha;FGV;Assinale a frase em que a concordância verbal está correta.;Havia muitos problemas a serem resolvidos.;Fazem anos que não o vejo.;Trata-se de sérias questões éticas.;Chegou as encomendas hoje cedo.;Se houveram dúvidas, pergunte.;A
DIREITO CONSTITUCIONAL;Direitos Fundamentais;Certo/Errado;CESPE;No Brasil, a pena de morte é proibida em qualquer hipótese, inclusive em caso de guerra declarada.;Certo;Errado;;;;Errado
INFORMÁTICA;Segurança da Informação;Múltipla Escolha;VUNESP;O que caracteriza um ataque de "Phishing"?;Injeção de código malicioso em páginas web.;Tentativa de obter dados confidenciais através de e-mails fraudulentos.;Bloqueio de acesso a um sistema por sobrecarga de requisições.;Criação de backdoors em sistemas operacionais.;O sequestro de dados mediante criptografia.;B
MATEMÁTICA;Funções de Primeiro Grau;Múltipla Escolha;ENEM;Uma empresa de táxi cobra uma tarifa fixa de R$ 5,00 mais R$ 2,50 por quilômetro rodado. Qual é a função que representa o custo (C) em relação à distância (x) percorrida?;C(x) = 5x + 2,50;C(x) = 2,50x + 5;C(x) = 7,50x;C(x) = 5/x + 2,50;C(x) = 5 - 2,50x;B
HISTÓRIA;Era Vargas;Múltipla Escolha;FGV;Qual evento marcou o fim do período conhecido como Estado Novo?;A Revolução Constitucionalista de 1932.;O suicídio de Getúlio Vargas em 1954.;O golpe militar de 1964.;A deposição de Vargas em 1945.;A criação da Petrobras em 1953.;D
GEOGRAFIA;Climas do Brasil;Múltipla Escolha;ENEM;O clima que abrange grande parte da região Nordeste e possui chuvas concentradas no verão é classificado como:;Equatorial úmido.;Subtropical úmido.;Tropical de altitude.;Tropical semiárido.;Tropical litorâneo úmido.;D
PORTUGUÊS;Regência Verbal;Múltipla Escolha;FGV;Assinale a alternativa que preenche corretamente a lacuna: "O técnico ________ um novo esquema tático.";visou;visou ao;visou o;aspirou;obedeceu o;B
DIREITO CONSTITUCIONAL;Poderes da União;Certo/Errado;CESPE;O Poder Legislativo é exercido pelo Congresso Nacional, que se compõe da Câmara dos Deputados e do Senado Federal.;Certo;Errado;;;;Certo
INFORMÁTICA;Redes de Computadores;Múltipla Escolha;VUNESP;Qual protocolo é responsável pela resolução de nomes de domínio (URLs) em endereços IP?;FTP;HTTP;DNS;SMTP;POP3;C
MATEMÁTICA;Probabilidade;Múltipla Escolha;ENEM;Ao lançar dois dados não viciados, qual a probabilidade de a soma dos números ser igual a 7?;1/36;1/12;1/6;1/9;1/3;C
HISTÓRIA;Ditadura Militar;Múltipla Escolha;FGV;O Ato Institucional Nº 5 (AI-5) é conhecido por:;Restabelecer a democracia no Brasil.;Garantir eleições diretas para presidente.;Suspender garantias constitucionais e instituir o bipartidarismo.;Criar o Plano Nacional de Desenvolvimento.;Promover a anistia política.;C
GEOGRAFIA;Globalização;Múltipla Escolha;ENEM;A principal característica da Terceira Revolução Industrial, ou Revolução Técnico-Científica Informacional, é a:;Utilização do carvão mineral como principal fonte de energia.;Produção em massa e a linha de montagem.;Integração entre ciência, tecnologia e produção.;Expansão do capitalismo mercantil.;Êxodo rural em larga escala.;C
PORTUGUÊS;Tipos de Linguagem;Múltipla Escolha;VUNESP;Em uma comunicação formal, o uso de gírias é considerado um desvio da norma:;Regional.;Coloquial.;Padrão.;Culto.;Vulgar.;C
DIREITO CONSTITUCIONAL;Nacionalidade;Certo/Errado;CESPE;São brasileiros natos os nascidos no estrangeiro, de pai brasileiro ou mãe brasileira, desde que venham a residir na República Federativa do Brasil e optem, em qualquer tempo, pela nacionalidade brasileira.;Certo;Errado;;;;Certo
INFORMÁTICA;Sistemas Operacionais;Múltipla Escolha;FGV;O que é o "Kernel" de um sistema operacional?;A interface gráfica do usuário.;A biblioteca de aplicativos.;O núcleo, responsável pelo gerenciamento de recursos.;O conjunto de drivers de dispositivos.;O sistema de arquivos.;C
MATEMÁTICA;Regra de Três Composta;Múltipla Escolha;FGV;Em uma fábrica, 4 máquinas produzem 120 peças em 5 horas. Quantas peças 6 máquinas produzirão em 8 horas?;288;360;240;480;384;D
HISTÓRIA;Independência do Brasil;Múltipla Escolha;VUNESP;A Inconfidência Mineira (1789) tinha como principal objetivo:;A expulsão dos holandeses do Nordeste.;A abolição imediata da escravidão.;A separação política do Brasil e a proclamação de uma república em Minas Gerais.;A restauração da monarquia portuguesa.;O fim do Pacto Colonial em todo o território.;C
GEOGRAFIA;Meio Ambiente;Múltipla Escolha;CESPE;O Protocolo de Kyoto foi um acordo internacional que visava a:;Regulamentação do comércio de espécies ameaçadas.;Redução da emissão de gases do efeito estufa.;Criação de zonas de livre comércio global.;Proteção da camada de ozônio.;Padronização das moedas globais.;B
PORTUGUÊS;Vozes Verbais;Múltipla Escolha;FGV;A frase "O livro foi lido pelo aluno" está na voz:;Ativa.;Reflexiva.;Passiva analítica.;Passiva sintética.;Recíproca.;C
DIREITO ADMINISTRATIVO;Princípios;Certo/Errado;CESPE;O princípio da publicidade, na Administração Pública, admite exceções estabelecidas em lei, notadamente para proteger a segurança da sociedade e do Estado.;Certo;Errado;;;;Certo
INFORMÁTICA;Software Livre;Múltipla Escolha;ENEM;Qual das opções a seguir NÃO é considerada uma das quatro liberdades essenciais do software livre?;Liberdade de uso para qualquer propósito.;Liberdade de copiar e distribuir o software.;Liberdade de acesso ao código-fonte.;Liberdade de vender o software por preço justo.;Liberdade de estudar e modificar o software.;D
MATEMÁTICA;Análise Combinatória;Múltipla Escolha;VUNESP;Quantos anagramas a palavra "AMOR" possui?;4;12;16;24;48;D
HISTÓRIA;República Velha;Múltipla Escolha;FGV;O período da República Velha (1889-1930) foi marcado politicamente pela:;Promulgação da Lei Áurea.;Política do Café com Leite e pelo Coronelismo.;Governo de Getúlio Vargas.;Guerra do Contestado.;Revolução Federalista.;B
GEOGRAFIA;Estrutura Geológica;Múltipla Escolha;CESPE;As jazidas de petróleo e gás natural, bem como as bacias sedimentares, estão majoritariamente localizadas em que tipo de estrutura geológica?;Cinturões orogenéticos.;Escudos cristalinos.;Dobramentos modernos.;Bacias sedimentares.;Platôs vulcânicos.;D
PORTUGUÊS;Crase;Múltipla Escolha;VUNESP;Assinale a frase em que o uso da crase está incorreto.;Fui à cidade vizinha.;Ele se dirigiu à casa de seus pais.;Dedicou-se à pesquisa.;Chegou a tempo de ver o show.;Entregou os documentos à secretária.;D
DIREITO ADMINISTRATIVO;Atos Administrativos;Certo/Errado;CESPE;A presunção de legitimidade é um atributo do ato administrativo que exige que o ato seja cumprido até prova em contrário.;Certo;Errado;;;;Certo
